Date: 2022-10-31 11:34:52.304458, Interval: 2.015, Type:Yawning
Date: 2022-10-31 11:34:53.605900, Interval: 1.019, Type:Normal
Date: 2022-10-31 11:35:46.790079, Interval: 2.183, Type:Normal
Date: 2022-10-31 11:35:49.972997, Interval: 2.711, Type:Yawning
Date: 2022-10-31 11:35:51.889118, Interval: 1.497, Type:Normal
Date: 2022-10-31 11:35:54.555003, Interval: 2.528, Type:Normal
Date: 2022-10-31 11:35:56.146962, Interval: 1.076, Type:Normal
Date: 2022-10-31 11:35:58.125590, Interval: 1.927, Type:Normal
Date: 2022-10-31 11:36:01.511968, Interval: 1.267, Type:Yawning
Date: 2022-10-31 11:36:06.338358, Interval: 1.556, Type:Normal
Date: 2022-10-31 11:36:07.668407, Interval: 1.239, Type:Normal
Date: 2022-10-31 11:36:12.439486, Interval: 3.458, Type:Yawning
Date: 2022-10-31 11:36:15.676015, Interval: 3.0, Type:Drowsy
Date: 2022-10-31 11:36:24.571079, Interval: 2.577, Type:Normal
Date: 2022-10-31 11:36:28.265839, Interval: 3.695, Type:Drowsy
Date: 2022-10-31 11:37:30.900309, Interval: 2.427, Type:Yawning
Date: 2022-10-31 11:37:34.671595, Interval: 3.21, Type:Normal
Date: 2022-10-31 11:39:15.082344, Interval: 1.739, Type:Normal
Date: 2022-10-31 11:39:24.251321, Interval: 6.58, Type:Yawning
Date: 2022-10-31 11:39:30.592240, Interval: 2.281, Type:Normal
Date: 2022-10-31 11:39:36.485066, Interval: 2.247, Type:Drowsy
Date: 2022-10-31 11:39:41.504846, Interval: 4.974, Type:Drowsy
Date: 2022-10-31 11:39:45.148660, Interval: 2.058, Type:Drowsy
Date: 2022-10-31 11:39:47.665782, Interval: 1.517, Type:Normal
Date: 2022-10-31 11:39:51.969730, Interval: 2.432, Type:Yawning
Date: 2022-10-31 11:39:52.300568, Interval: 2.67, Type:Drowsy
Date: 2022-10-31 11:39:59.003870, Interval: 3.589, Type:Normal
Date: 2022-10-31 11:40:01.429773, Interval: 1.646, Type:Normal
Date: 2022-10-31 11:40:09.699869, Interval: 6.221, Type:Drowsy
Date: 2022-10-31 11:40:11.776834, Interval: 2.501, Type:Yawning
Date: 2022-10-31 11:40:15.386294, Interval: 1.174, Type:Normal
Date: 2022-10-31 11:40:23.957864, Interval: 4.827, Type:Drowsy
Date: 2022-10-31 11:47:08.775177, Interval: 3.872, Type:Normal
Date: 2022-10-31 11:47:27.370811, Interval: 3.597, Type:Yawning
Date: 2022-10-31 11:47:32.759358, Interval: 3.495, Type:Normal
Date: 2022-10-31 11:47:36.723550, Interval: 3.778, Type:Normal
Date: 2022-10-31 11:47:37.971595, Interval: 1.155, Type:Yawning
Date: 2022-10-31 11:47:44.518864, Interval: 6.452, Type:Yawning
Date: 2022-10-31 11:47:51.254998, Interval: 5.618, Type:Normal
Date: 2022-10-31 11:47:55.982506, Interval: 4.494, Type:Normal
Date: 2022-10-31 11:47:57.492611, Interval: 1.091, Type:Normal
Date: 2022-10-31 11:48:03.666787, Interval: 2.483, Type:Normal
Date: 2022-10-31 11:48:10.962659, Interval: 1.124, Type:Yawning
Date: 2022-10-31 11:48:12.084436, Interval: 1.076, Type:Yawning
Date: 2022-10-31 11:48:18.143150, Interval: 1.201, Type:Normal
Date: 2022-10-31 11:48:24.597063, Interval: 3.324, Type:Yawning
Date: 2022-10-31 11:48:24.881152, Interval: 2.003, Type:Drowsy
Date: 2022-10-31 11:48:31.218638, Interval: 5.83, Type: Eyes not on road
Date: 2022-10-31 11:48:32.590892, Interval: 7.437, Type:Normal
Date: 2022-10-31 11:48:37.300413, Interval: 1.841, Type:Yawning
Date: 2022-10-31 11:48:57.178550, Interval: 4.461, Type: Eyes not on road
Date: 2022-10-31 11:48:58.748181, Interval: 1.567, Type:Normal
Date: 2022-10-31 11:49:03.292303, Interval: 3.874, Type:Normal
Date: 2022-10-31 11:49:10.560036, Interval: 2.088, Type:Normal
Date: 2022-10-31 11:49:12.240101, Interval: 1.305, Type:Normal
Date: 2022-10-31 11:51:57.205051, Interval: 164.597, Type: Eyes not on road
Date: 2022-10-31 11:51:58.279312, Interval: 165.938, Type:Normal
Date: 2022-10-31 11:52:01.788175, Interval: 3.463, Type:Normal
Date: 2022-10-31 11:52:05.726645, Interval: 1.71, Type:Normal
Date: 2022-10-31 11:52:14.092292, Interval: 5.014, Type:Normal
Date: 2022-10-31 11:52:18.998150, Interval: 4.719, Type:Normal
Date: 2022-10-31 11:52:23.336460, Interval: 3.732, Type:Normal
Date: 2022-10-31 11:52:34.362191, Interval: 6.893, Type: Eyes not on road
Date: 2022-10-31 11:52:39.116032, Interval: 2.951, Type:Normal
Date: 2022-10-31 11:52:45.828049, Interval: 6.152, Type:Normal
Date: 2022-10-31 11:52:54.476383, Interval: 1.446, Type:Normal
Date: 2022-10-31 11:53:00.828530, Interval: 3.598, Type:Normal
Date: 2022-10-31 11:53:07.775261, Interval: 6.25, Type:Drowsy
Date: 2022-10-31 11:53:22.703125, Interval: 11.487, Type: Eyes not on road
Date: 2022-10-31 11:53:22.707111, Interval: 11.808, Type:Normal
Date: 2022-10-31 11:53:31.716272, Interval: 4.364, Type:Drowsy
Date: 2022-10-31 11:53:41.645895, Interval: 6.218, Type: Eyes not on road
Date: 2022-10-31 11:53:45.121278, Interval: 1.859, Type:Normal
Date: 2022-10-31 11:53:51.348120, Interval: 3.417, Type:Normal
Date: 2022-10-31 11:53:55.226413, Interval: 2.237, Type:Drowsy
Date: 2022-10-31 11:54:00.918582, Interval: 1.158, Type:Normal
Date: 2022-10-31 11:54:04.091307, Interval: 2.831, Type:Normal
Date: 2022-10-31 11:54:09.449420, Interval: 5.358, Type:Drowsy
Date: 2022-10-31 11:54:13.496542, Interval: 2.908, Type:Normal
Date: 2022-10-31 11:54:15.898014, Interval: 2.217, Type:Normal
Date: 2022-10-31 11:55:25.408389, Interval: 1.114, Type:Normal
Date: 2022-10-31 11:55:26.773174, Interval: 1.062, Type:Normal
Date: 2022-10-31 11:55:32.016475, Interval: 2.495, Type:Yawning
Date: 2022-10-31 11:55:34.803238, Interval: 1.354, Type:Normal
Date: 2022-10-31 11:55:36.755279, Interval: 1.231, Type:Normal
Date: 2022-10-31 11:55:52.110503, Interval: 15.215, Type: Eyes not on road
Date: 2022-10-31 11:55:52.114490, Interval: 15.264, Type:Normal
Date: 2022-10-31 11:55:54.965690, Interval: 1.963, Type:Normal
Date: 2022-10-31 11:55:57.226970, Interval: 1.888, Type:Normal
Date: 2022-10-31 17:14:56.818432, Interval: 1.408, Type:Normal
Date: 2022-10-31 17:14:58.840279, Interval: 1.468, Type:Normal
Date: 2022-10-31 17:15:05.574345, Interval: 2.027, Type:Yawning
Date: 2022-10-31 17:15:10.120293, Interval: 1.511, Type:Normal
Date: 2022-10-31 17:15:24.844856, Interval: 1.118, Type:Yawning
Date: 2022-10-31 17:15:32.424995, Interval: 1.942, Type:Yawning
Date: 2022-10-31 17:15:34.760260, Interval: 1.118, Type:Yawning
Date: 2022-10-31 17:15:37.573833, Interval: 2.767, Type:Yawning
Date: 2022-10-31 17:15:45.064351, Interval: 3.436, Type:Normal
Date: 2022-10-31 17:15:50.362002, Interval: 4.873, Type:Drowsy
Date: 2022-10-31 17:15:53.595609, Interval: 2.157, Type:Normal
Date: 2022-10-31 17:16:00.625782, Interval: 5.762, Type:Normal
Date: 2022-10-31 17:16:05.260747, Interval: 4.635, Type:Yawning
Date: 2022-10-31 17:16:08.870733, Interval: 2.152, Type:Yawning
Date: 2022-10-31 17:16:17.339947, Interval: 2.339, Type:Drowsy
Date: 2022-10-31 17:16:28.114990, Interval: 1.029, Type:Normal
Date: 2022-10-31 17:16:30.801778, Interval: 2.562, Type:Normal
Date: 2022-10-31 17:16:34.661186, Interval: 2.926, Type:Normal
Date: 2022-11-02 21:24:54.374238, Interval: 11.511, Type:Normal
Date: 2022-11-02 21:24:57.003857, Interval: 1.53, Type:Yawning
Date: 2022-11-02 21:25:00.370179, Interval: 3.36, Type:Normal
Date: 2022-11-02 21:27:03.069859, Interval: 2.692, Type:Normal
Date: 2022-11-02 21:27:06.369176, Interval: 3.102, Type:Yawning
Date: 2022-11-02 21:27:10.007996, Interval: 2.778, Type:Normal
Date: 2022-11-02 21:27:12.691944, Interval: 1.862, Type:Yawning
Date: 2022-11-02 21:27:19.552488, Interval: 6.858, Type:Normal
Date: 2022-11-02 21:27:21.476609, Interval: 1.924, Type:Yawning
Date: 2022-11-02 21:27:25.295993, Interval: 2.354, Type:Normal
Date: 2022-11-02 21:27:26.476690, Interval: 1.069, Type:Normal
Date: 2022-11-02 21:27:31.499918, Interval: 1.878, Type:Yawning
Date: 2022-11-02 21:27:33.092778, Interval: 1.583, Type:Normal
Date: 2022-11-02 21:27:35.673290, Interval: 2.286, Type:Normal
Date: 2022-11-02 21:27:39.865298, Interval: 3.668, Type:Normal
Date: 2022-11-02 21:27:41.734560, Interval: 1.869, Type:Yawning
Date: 2022-11-02 21:27:46.899509, Interval: 4.896, Type:Normal
Date: 2022-11-02 21:27:47.996300, Interval: 1.012, Type:Normal
Date: 2022-11-02 21:27:57.465824, Interval: 2.865, Type:Normal
Date: 2022-11-02 21:27:59.577398, Interval: 1.322, Type:Normal
Date: 2022-11-02 21:28:02.784167, Interval: 2.964, Type:Normal
Date: 2022-11-02 21:28:04.739474, Interval: 1.307, Type:Yawning
Date: 2022-11-02 21:28:07.674880, Interval: 1.244, Type:Yawning
Date: 2022-11-02 21:28:10.823483, Interval: 2.257, Type:Normal
Date: 2022-11-06 15:51:17.967506, Interval: 1.243, Type:Normal
Date: 2022-11-06 15:51:19.168950, Interval: 1.081, Type:Normal
Date: 2022-11-06 15:51:22.776507, Interval: 3.368, Type:Normal
Date: 2022-11-06 15:51:35.015203, Interval: 7.507, Type:Normal
Date: 2022-11-06 15:51:37.650390, Interval: 1.179, Type:Yawning
Date: 2022-11-06 15:51:41.851268, Interval: 1.843, Type:Normal
Date: 2022-11-06 15:51:43.208541, Interval: 1.198, Type:Normal
